"CBSA
Code",Geographic area,Legal/statistical area description,2010 Census,Census 2000,Number,Percent
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",Metropolitan Statistical Area,"1,758,038","1,330,448","427,590",32.1
16820,"Charlottesville, VA",Metropolitan Statistical Area,"201,559","174,021","27,538",15.8
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,"528,143","476,531","51,612",10.8
16940,"Cheyenne, WY",Metropolitan Statistical Area,"91,738","81,607","10,131",12.4
16980,"Chicago-Joliet-Naperville, IL-IN-WI",Metropolitan Statistical Area,"9,461,105","9,098,316","362,789",4.0
17020,"Chico, CA",Metropolitan Statistical Area,"220,000","203,171","16,829",8.3
17140,"Cincinnati-Middletown, OH-KY-IN",Metropolitan Statistical Area,"2,130,151","2,009,632","120,519",6.0
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,"273,949","232,000","41,949",18.1
17420,"Cleveland, TN",Metropolitan Statistical Area,"115,788","104,015","11,773",11.3
17460,"Cleveland-Elyria-Mentor, OH",Metropolitan Statistical Area,"2,077,240","2,148,143","-70,903",-3.3
17660,"Coeur d'Alene, ID",Metropolitan Statistical Area,"138,494","108,685","29,809",27.4
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,"228,660","184,885","43,775",23.7
17820,"Colorado Springs, CO",Metropolitan Statistical Area,"645,613","537,484","108,129",20.1
17860,"Columbia, MO",Metropolitan Statistical Area,"172,786","145,666","27,120",18.6
17900,"Columbia, SC",Metropolitan Statistical Area,"767,598","647,158","120,440",18.6
17980,"Columbus, GA-AL",Metropolitan Statistical Area,"294,865","281,768","13,097",4.6
18020,"Columbus, IN",Metropolitan Statistical Area,"76,794","71,435","5,359",7.5
18140,"Columbus, OH",Metropolitan Statistical Area,"1,836,536","1,612,694","223,842",13.9
18580,"Corpus Christi, TX",Metropolitan Statistical Area,"428,185","403,280","24,905",6.2
18700,"Corvallis, OR",Metropolitan Statistical Area,"85,579","78,153","7,426",9.5
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,"180,822","170,498","10,324",6.1
19060,"Cumberland, MD-WV",Metropolitan Statistical Area,"103,299","102,008","1,291",1.3
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,"6,371,773","5,161,544","1,210,229",23.4
19140,"Dalton, GA",Metropolitan Statistical Area,"142,227","120,031","22,196",18.5
19180,"Danville, IL",Metropolitan Statistical Area,"81,625","83,919","-2,294",-2.7
19260,"Danville, VA",Metropolitan Statistical Area,"106,561","110,156","-3,595",-3.3
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,"379,690","376,019","3,671",1.0
19380,"Dayton, OH",Metropolitan Statistical Area,"841,502","848,153","-6,651",-0.8
19460,"Decatur, AL",Metropolitan Statistical Area,"153,829","145,867","7,962",5.5
19500,"Decatur, IL",Metropolitan Statistical Area,"110,768","114,706","-3,938",-3.4
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,"494,593","443,343","51,250",11.6
19740,"Denver-Aurora-Broomfield, CO",Metropolitan Statistical Area,"2,543,482","2,179,240","364,242",16.7
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,"569,633","481,394","88,239",18.3
19820,"Detroit-Warren-Livonia, MI",Metropolitan Statistical Area,"4,296,250","4,452,557","-156,307",-3.5
20020,"Dothan, AL",Metropolitan Statistical Area,"145,639","130,861","14,778",11.3
20100,"Dover, DE",Metropolitan Statistical Area,"162,310","126,697","35,613",28.1
20220,"Dubuque, IA",Metropolitan Statistical Area,"93,653","89,143","4,510",5.1
20260,"Duluth, MN-WI",Metropolitan Statistical Area,"279,771","275,486","4,285",1.6
20500,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,"504,357","426,493","77,864",18.3
20740,"Eau Claire, WI",Metropolitan Statistical Area,"161,151","148,337","12,814",8.6
20940,"El Centro, CA",Metropolitan Statistical Area,"174,528","142,361","32,167",22.6
21060,"Elizabethtown, KY",Metropolitan Statistical Area,"119,736","107,547","12,189",11.3
21140,"Elkhart-Goshen, IN",Metropolitan Statistical Area,"197,559","182,791","14,768",8.1
21300,"Elmira, NY",Metropolitan Statistical Area,"88,830","91,070","-2,240",-2.5
21340,"El Paso, TX",Metropolitan Statistical Area,"800,647","679,622","121,025",17.8
21500,"Erie, PA",Metropolitan Statistical Area,"280,566","280,843",-277,-0.1
21660,"Eugene-Springfield, OR",Metropolitan Statistical Area,"351,715","322,959","28,756",8.9
21780,"Evansville, IN-KY",Metropolitan Statistical Area,"358,676","342,815","15,861",4.6
21820,"Fairbanks, AK",Metropolitan Statistical Area,"97,581","82,840","14,741",17.8
22020,"Fargo, ND-MN",Metropolitan Statistical Area,"208,777","174,367","34,410",19.7
22140,"Farmington, NM",Metropolitan Statistical Area,"130,044","113,801","16,243",14.3
22180,"Fayetteville, NC",Metropolitan Statistical Area,"366,383","336,609","29,774",8.8
22220,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,"463,204","347,045","116,159",33.5
22380,"Flagstaff, AZ",Metropolitan Statistical Area,"134,421","116,320","18,101",15.6
22420,"Flint, MI",Metropolitan Statistical Area,"425,790","436,141","-10,351",-2.4
22500,"Florence, SC",Metropolitan Statistical Area,"205,566","193,155","12,411",6.4
22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,"147,137","142,950","4,187",2.9
22540,"Fond du Lac, WI",Metropolitan Statistical Area,"101,633","97,296","4,337",4.5
